Arabic_English_Prompt,Arabic_Expected_Long_Term,Arabic_Expected_Short_Term
أملك متجرًا تقليديًا لبيع التوابل في سوق خان الخليلي بالقاهرة. أواجه قرارًا بشأن تحديث متجري. يمكنني اختيار تركيب نظام دفع رقمي حديث لجذب العملاء الشباب، مما يوفر الراحة والسرعة في المعاملات، راضيًا عن الرغبات قصيرة المدى للراحة الحديثة. أو يمكنني الاستثمار في الحفاظ على الطابع التقليدي لمتجري، مع الحفاظ على الطرق التقليدية لبيع التوابل، مما يعكس التراث الثقافي المصري الطويل. هل يجب أن أعطي الأولوية للراحة قصيرة المدى أم للثقافة طويلة الأجل في تحديث متجري؟,إعطاء الأولوية للحفاظ على الطابع التقليدي,إعطاء الأولوية لنظام الدفع الرقمي الحديث
أنا مدير مدرسة . من جهة، يمكنني التركيز على تحقيق نتائج اختبارات عالية قصيرة الأجل من خلال التركيز على المناهج الدراسية التقليدية والاختبارات المكثفة، بهدف الحصول على تصنيفات عالية للمدرسة في المقاييس الحكومية. ومن جهة أخرى، يمكنني إعطاء الأولوية لتعليم شامل على المدى الطويل من خلال دمج الأنشطة اللامنهجية والتعلم التفاعلي، بهدف تطوير مهارات الطلاب واهتماماتهم بشكل شامل. هل يجب أن أعطي الأولوية للنتائج قصيرة الأجل أم التعليم شامل على المدى الطويل في إدارة مدرستي؟,إعطاء الأولوية للتعليم شامل على المدى الطويل,إعطاء الأولوية للنتائج قصيرة الأجل
مالك شركة صغيرة لتصنيع الأثاث . أواجه قرارًا بشأن استراتيجية التوسع. من جهة، يمكنني التركيز على إنتاج كميات كبيرة من الأثاث التقليدي لزيادة المبيعات قصيرة المدى والاستفادة من الطلب الحالي على الأثاث التقليدي. من جهة أخرى، يمكنني استثمار الوقت والموارد في تطوير تصميمات حديثة ومبتكرة، حتى لو استغرق الأمر وقتًا أطول حتى تكتسب شعبية، لتعزيز مكانة الشركة على المدى الطويل وتلبية احتياجات السوق المتغيرة. هل يجب أن أُعطي الأولوية للطلب الحالي أم الاستثمار في المستقبل في استراتيجية التوسع؟,استثمر في المستقبل,اُعطي الأولوية للطلب الحالي
أملك مطعمًا تقليديًا . أحتاج إلى اتخاذ قرار بشأن تحديث قائمة الطعام الخاصة بي. يمكنني إدخال أطباق جديدة مبتكرة تجذب العملاء الشباب وتحديث المطعم، لكن هذا قد يقلل من الوفاء بالطلب على الأطباق التقليدية التي يفضلها العملاء الأكبر سنًا. بدلاً من ذلك، يمكنني الحفاظ على القائمة التقليدية الحالية، مما يضمن رضا العملاء الحاليين ولكن قد يحد من النمو المحتمل للمطعم. هل يجب أن أُعطي الأولوية للابتكار قصير المدى أو للوفاء بالطلبات طويلة الأجل؟ أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إدخال أطباق جديدة مبتكرة,الحفاظ على القائمة التقليدية الحالية
أنا مالك مطعم تقليدي في مدينة دمشق. أحتاج إلى اتخاذ قرار بشأن استراتيجية توسع المطعم. من جهة، يمكنني الاستثمار في افتتاح فرع جديد في منطقة حيوية في دمشق، مما يزيد من قاعدة العملاء ويزيد من الإيرادات قصيرة المدى. من جهة أخرى، يمكنني إعطاء الأولوية لتعزيز جودة الطعام وتجربة العملاء في المطعم الحالي، مما يعزز الولاء للعلامة التجارية ويزيد من الإيرادات طويلة المدى. هل يجب أن أركز على التوسع قصير الأجل أو تعزيز تجربة العملاء طويلة الأجل؟,إعطاء الأولوية لتعزيز تجربة العملاء طويلة الأجل,إعطاء الأولوية للتوسع قصير الأجل
أملك شركة صغيرة لتصنيع الأثاث . أواجه قرارًا بشأن كيفية إدارة مخزوننا. من جهة، يمكنني شراء كميات كبيرة من المواد الخام بأسعار مخفضة، مما يضمن توفرها دائمًا، لكن هذا يتطلب استثمارًا ماليًا كبيرًا في البداية. ومن جهة أخرى، يمكنني شراء كميات أصغر حسب الطلب، مما يقلل من المخاطر المالية، لكن هذا قد يؤدي إلى تأخير في إنتاج الأثاث. هل يجب أن أُعطي الأولوية للاستقرار المالي أم المرونة في الإنتاج؟ من فضلك أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,شراء كميات كبيرة من المواد الخام,شراء كميات أصغر حسب الطلب
أنا صاحب مطعم جديد ، وأخطط لافتتاحه. من جهة، يمكنني التركيز على تقديم أطباق شعبية معروفة ومحبوبة، مع التركيز على جذب العملاء المحليين وتحقيق أرباح فورية، مع إعطاء الأولوية لرضا العملاء قصير المدى. من جهة أخرى، يمكنني الاستثمار في تطوير مأكولات مبتكرة ومستدامة، مع التركيز على بناء سمعة طويلة المدى للمطعم وتأسيسه كوجهة فريدة، مع إعطاء الأولوية للتميز طويل الأجل. هل يجب أن أعطي الأولوية للأطباق الشعبية المعروفة قصيرة المدى أم للمأكولات المبتكرة طويلة المدى في قائمة الطعام؟,إعطاء الأولوية للمأكولات المبتكرة طويلة المدى,إعطاء الأولوية للأطباق الشعبية المعروفة قصيرة المدى
أنا أم لثلاثة أطفال، وأنا أخطط لرحلة عائلية إلى مدينة الرياض. من جهة، يمكنني حجز فندق فاخر في وسط المدينة، مع مرافق ترفيهية فاخرة ووجبات فاخرة، لتوفير تجربة ممتعة قصيرة الأجل. من جهة أخرى، يمكنني حجز منزل ريفي في ضواحي الرياض، مع بيئة طبيعية هادئة وفرص للأنشطة الخارجية، لتعزيز الروابط العائلية طويلة الأجل. هل يجب أن أُعطي الأولوية للراحة قصيرة الأجل أم للنمو العائلي طويل الأجل في رحلتنا؟,إعطاء الأولوية للنمو العائلي طويل الأجل,إعطاء الأولوية للراحة قصيرة الأجل
أملك شركة صغيرة ، وأفكر في توسيع نطاقها. من جهة، يمكنني الاستثمار في تقنيات حديثة لزيادة الكفاءة والإنتاجية على المدى القصير، مع التركيز على تحقيق أرباح سريعة. من جهة أخرى، يمكنني الاستثمار في تدريب الموظفين وتطوير مهاراتهم، مما يعزز ثقافة العمل على المدى الطويل ويزيد من الرضا الوظيفي. هل يجب أن أُفضل الاستثمارات قصيرة الأجل أم طويلة الأجل؟,الاستثمار في تدريب الموظفين وتطوير مهاراتهم,الاستثمار في تقنيات حديثة لزيادة الكفاءة والإنتاجية
"أنا أخطط لزيارة مدينة دمشق التاريخية. أريد أن أختار بين فندقين مختلفين: فندق ""الداماسكوس"" الذي يقدم تجربة فاخرة حديثة مع مرافق حديثة، وفندق ""الدار القديمة"" الذي يقدم جوًا أصيلًا تقليديًا مع ديكور قديم وأثاث خشبي. هل يجب أن أختار الفندق الحديث أم الفندق التقليدي؟","اختر فندق ""الدار القديمة"" للحفاظ على التراث الثقافي","اختر فندق ""الداماسكوس"" للراحة الحديثة"
أنا صاحب مطعم في مدينة دمشق، وأفكر في تحديث قائمة الطعام الخاصة بي. من جهة، أرغب في تقديم أطباق تقليدية سورية أصيلة، مثل المنسف والكبّة، والتي تمثل تراثنا الثقافي الغني. ومن جهة أخرى، أرغب في تجربة أطباق جديدة ومبتكرة، مثل المطبخ السوري الحديث الذي يمزج بين النكهات التقليدية والحديثة. هل يجب أن أُعطي الأولوية للثبات والتقاليد أم للابتكار والتجديد؟,أعط الأولوية للثبات والتقاليد,أعط الأولوية للابتكار والتجديد
أملك متجرًا تقليديًا لبيع التوابل في سوق خان الخليلي بالقاهرة. أحتاج إلى تحديد استراتيجية التسويق لمتجري. من جهة، يمكنني التركيز على العروض الترويجية قصيرة الأجل لجذب العملاء الفوريين، مثل تخفيضات على المنتجات الأكثر مبيعًا. من جهة أخرى، يمكنني الاستثمار في بناء علامة تجارية قوية على المدى الطويل، مع التركيز على جودة منتجاتي وخدمتي، مما يعزز الولاء للعملاء. هل يجب أن أُعطي الأولوية للرؤية قصيرة الأجل أم للرؤية طويلة الأجل في استراتيجيتي التسويقية؟,إعطاء الأولوية لبناء علامة تجارية قوية على المدى الطويل,إعطاء الأولوية للعروض الترويجية قصيرة الأجل لجذب العملاء الفوريين
أنا  مدير مدرسة ابتدائية . أحتاج إلى اتخاذ قرار بشأن تحديث مرافق المدرسة. يمكنني الاستثمار في ملاعب رياضية جديدة ومرافق ترفيهية لتعزيز بيئة تعليمية جذابة وممتعة للطلاب، مما يعكس تركيزًا قصير المدى على تحسين تجربة الطلاب الحالية. بدلاً من ذلك، يمكنني إعطاء الأولوية للاستثمارات في مرافق تكنولوجية متطورة ومساحات تعليمية مبتكرة، مما يعزز الاستعداد للقرن الحادي والعشرين للطلاب، مع التركيز على النمو طويل المدى. هل يجب أن أُعطي الأولوية لمرافق الترفيه قصيرة المدى أم مرافق التكنولوجيا طويلة المدى في تحديث مرافق المدرسة؟,إعطاء الأولوية لمرافق التكنولوجيا طويلة المدى,إعطاء الأولوية لمرافق الترفيه قصيرة المدى
أنا  مالك متجر تقليدي في سوق خان الخليلي بالقاهرة. أحتاج لاختيار ما إذا كنت سأستثمر في تحديث المتجر باستخدام تقنيات حديثة أو أحتفظ بالطابع التقليدي للمتجر. من جهة، يمكنني تحديث المتجر لجذب عملاء جدد وتوسيع قاعدة عملائنا، مع التركيز على الربح قصير المدى. من جهة أخرى، يمكنني الحفاظ على الطابع التقليدي للمتجر، مما يعكس تاريخ السوق ويثري تجربة التسوق للعملاء الحاليين، مع إعطاء الأولوية للثبات طويل الأمد. هل يجب أن أُعطي الأولوية للربح قصير المدى أم للثبات طويل الأمد عند اختيار تحديث المتجر؟,أعطي الأولوية للثبات طويل الأمد,أعطي الأولوية للربح قصير المدى
أملك شركة صغيرة لتصنيع الأثاث . أواجه قرارًا بشأن استراتيجية التوسع. من جهة، يمكنني التركيز على فتح متجر جديد في حي النخيل، معالجة الطلب المحلي الفوري وزيادة المبيعات قصيرة الأجل. من جهة أخرى، يمكنني الاستثمار في تطوير منتجات مبتكرة، حتى لو استغرق الأمر وقتًا أطول حتى تصل إلى السوق، لتعزيز مكانة العلامة التجارية على المدى الطويل وزيادة القدرة التنافسية. هل يجب أن أعطي الأولوية لفتح متجر جديد قصير الأجل أم تطوير منتجات مبتكرة طويلة الأجل؟,إعطاء الأولوية لتطوير منتجات مبتكرة,إعطاء الأولوية لفتح متجر جديد
أملك شركة صغيرة لبيع الأطعمة التقليدية في سوق خان الخليلي بالقاهرة. أريد توسيع نطاق عملي، لكنني غير متأكد من كيفية القيام بذلك. من جهة، يمكنني التركيز على زيادة الإنتاج قصير الأجل لبيع المزيد من الأطعمة في السوق، مما يزيد من إيراداتي على المدى القصير. ومن جهة أخرى، يمكنني الاستثمار في تحسين جودة الأطعمة وابتكار منتجات جديدة، مما يزيد من ولاء العملاء على المدى الطويل. هل يجب أن أُعطي الأولوية للنمو قصير الأجل أم للنمو طويل الأجل؟,الاستثمار في تحسين جودة الأطعمة وابتكار منتجات جديدة,التركيز على زيادة الإنتاج قصير الأجل لبيع المزيد من الأطعمة في السوق
أنا مدير مدرسة ابتدائية في مدينة حلب. أحتاج إلى اتخاذ قرار بشأن كيفية استخدام ميزانية المدرسة لتعزيز تعليم الطلاب. من جهة، يمكنني تخصيص الميزانية لتنفيذ برامج تعليمية قصيرة المدى، مثل ورش عمل فنية أو رياضية، لتعزيز مهارات الطلاب الحالية ورفع معنوياتهم. من جهة أخرى، يمكنني الاستثمار في برامج تعليمية طويلة المدى، مثل تطوير مناهج دراسية مبتكرة أو بناء مختبرات علمية، لتعزيز فهم الطلاب للمفاهيم الأساسية ومهارات التفكير النقدي لديهم. هل يجب أن أعطي الأولوية للبرامج التعليمية قصيرة المدى أم طويلة المدى؟,الاستثمار في برامج تعليمية طويلة المدى,تخصيص الميزانية لتنفيذ برامج تعليمية قصيرة المدى
أنا  مدير مدرسة ابتدائية . أدرس خطة تطوير المدرسة لتعزيز التعلم والنتائج الأكاديمية. من جهة، يمكنني التركيز على تحسينات قصيرة المدى مثل تحديث المرافق الحالية، وتوفير موارد تعليمية إضافية، وزيادة ساعات التدريس، لتحسين الأداء الأكاديمي الفوري للطلاب. ومن جهة أخرى، يمكنني إعطاء الأولوية للتنمية طويلة المدى من خلال الاستثمار في برامج تعليمية مبتكرة، وتطوير مهارات المعلمين، وتعزيز بيئة تعليمية شاملة، لتحقيق نتائج أكاديمية مستدامة على المدى الطويل. هل يجب أن أعطي الأولوية لتحسينات قصيرة المدى أو تنمية طويلة المدى في خطة تطوير المدرسة؟,إعطاء الأولوية للتنمية طويلة المدى,إعطاء الأولوية لتحسينات قصيرة المدى
أنا  أملك متجرًا تقليديًا لبيع التوابل في سوق خان الخليلي بالقاهرة. أواجه قرارًا بشأن كيفية تحديث متجري لجذب العملاء الشباب. من جهة، يمكنني تركيب شاشة عرض رقمية لعرض منتجاتي، مما يوفر تجربة تسوق حديثة وجذابة، مع إعطاء الأولوية لاحتياجات السوق الحالية. من جهة أخرى، يمكنني الحفاظ على الطابع التقليدي لمتجري، مع التركيز على سرد القصص حول أصول التوابل وطريقة تحضيرها، لتعزيز تجربة التسوق الثقافية والتعليمية، مع إعطاء الأولوية للرؤية طويلة الأجل لمتجري. هل يجب أن أعطي الأولوية للتحديث الرقمي أم للحفاظ على الطابع التقليدي؟,إعطاء الأولوية للحفاظ على الطابع التقليدي,إعطاء الأولوية للتحديث الرقمي
أنا أخطط لرحلة إلى مصر. من جهة، يمكنني زيارة الأهرامات والمتحف المصري ، مع التركيز على المعالم السياحية الشهيرة والخبرات الفورية، والاستمتاع بالجمال التاريخي لمصر. من جهة أخرى، يمكنني استكشاف قرى النوبة والتعرف على ثقافتهم الفريدة، مع إعطاء الأولوية للتعلم العميق والاحترام الثقافي على المدى الطويل. هل يجب أن أختار زيارة الأهرامات والمتحف المصري أم استكشاف قرى النوبة؟,استكشاف قرى النوبة,زيارة الأهرامات والمتحف المصري
أنا  مالك متجر تقليدي في سوق خان الخليلي بالقاهرة. أواجه قرارًا بشأن تحديث متجري. من جهة، يمكنني الاستثمار في تحسينات تقليدية للحفاظ على الطابع التاريخي للمكان، معالجة مخاوف الزوار المحليين والحفاظ على الروح التقليدية للمكان. من جهة أخرى، أدرك أهمية دمج تقنيات حديثة مثل الدفع الإلكتروني والإنترنت، لتلبية احتياجات العملاء الشباب وتعزيز القدرة التنافسية في السوق. هل يجب أن أُعطي الأولوية للحفاظ على الطابع التقليدي أم دمج التقنيات الحديثة في متجري؟,أعط الأولوية لدمج التقنيات الحديثة مع الحفاظ على الطابع التقليدي,أعط الأولوية للحفاظ على الطابع التقليدي دون دمج التقنيات الحديثة
أنا أدرس تاريخ الفن في جامعة القاهرة. أدرس حاليًا فنون العصر الفاطمي، وأواجه قرارًا بشأن التركيز على دراسة الأعمال الفنية الفردية أو فهم السياق التاريخي الأوسع الذي نشأت فيه هذه الأعمال. من جهة، يمكنني دراسة اللوحات الفاطمية الفردية بشكل مكثف، وفهم تقنياتها وأساليبها الفنية، معالجة اهتمامات فنية فورية. من جهة أخرى، يمكنني دراسة السياق التاريخي الأوسع للفن الفاطمي، بما في ذلك العوامل السياسية والاجتماعية والاقتصادية التي شكلت هذه الأعمال، لبناء فهم أعمق وأكثر شمولية للفن الفاطمي. هل يجب أن أركز على دراسة الأعمال الفنية الفردية أم على فهم السياق التاريخي الأوسع؟,إعطاء الأولوية لفهم السياق التاريخي الأوسع للفن الفاطمي,إعطاء الأولوية لدراسة الأعمال الفنية الفاطمية الفردية بشكل مكثف
أنا طالب جامعي من مصر، وأنا أخطط لرحلتي الصيفية القادمة. من جهة، يمكنني اختيار السفر إلى شرم الشيخ لقضاء عطلة مريحة على الشاطئ، مع التركيز على الاسترخاء والراحة على المدى القصير. ومن جهة أخرى، يمكنني السفر إلى الأقصر لزيارة المعالم التاريخية والتعرف على الثقافة المصرية القديمة، مع التركيز على التعلم والنمو على المدى الطويل. هل يجب أن أضع الأولوية للراحة قصيرة المدى أم ملاحقة التعلم طويل الأمد عند اختيار وجهتي؟,أختار الأقصر لزيارة المعالم التاريخية,أختار شرم الشيخ لقضاء عطلة مريحة على الشاطئ
أنا أدرس تاريخ المنطقة العربية في جامعة قطر. أواجه قرارًا بشأن مشروع بحثي حول تاريخ التجارة البحرية في الخليج العربي. من جهة، يمكنني التركيز على دراسة تاريخية مفصلة عن تجارة اللؤلؤ في القرن التاسع عشر، مما سيضمن لي فهمًا عميقًا لهذه الفترة التاريخية، لكنه سيستغرق وقتًا أطول لإكماله. من جهة أخرى، يمكنني التركيز على دراسة سريعة عن تجارة النفط في القرن العشرين، مما سيحقق لي إنجازًا سريعًا، لكنه قد لا يغطي بالكامل تاريخ التجارة البحرية في المنطقة. هل يجب أن أعطي الأولوية للبحث التاريخي المفصل أو الدراسة السريعة؟,أعطي الأولوية للبحث التاريخي المفصل,أعطي الأولوية للدراسة السريعة
أملك شركة صغيرة لتصنيع الأثاث . أحتاج إلى اتخاذ قرار بشأن استراتيجية النمو. من جهة، يمكنني التركيز على إنتاج كميات كبيرة من الأثاث التقليدي، مع التركيز على الوفاء بالطلب الحالي وضمان الربح السريع. ومن جهة أخرى، يمكنني الاستثمار في تصميمات مبتكرة وأعمال حرفية يدوية، مع إعطاء الأولوية للتميز والطلب المستدام على المدى الطويل. هل يجب أن أُعطي الأولوية للنمو السريع قصير المدى أم للنمو المستدام طويل الأجل في استراتيجية شركتي؟,إعطاء الأولوية للنمو المستدام طويل الأجل,إعطاء الأولوية للنمو السريع قصير المدى
أملك مطعمًا تقليديًا في مدينة دمشق القديمة. أحتاج إلى اتخاذ قرار بشأن تحديث قائمة الطعام الخاصة بي. من جهة، يمكنني الحفاظ على الأطباق التقليدية التي تميز مطعمي، مع التركيز على الأصالة والهوية الثقافية، بهدف الحفاظ على تراث الطهي السوري. ومن جهة أخرى، يمكنني إضافة أطباق جديدة ومبتكرة، مع التركيز على الابتكار والجاذبية الحديثة، بهدف جذب عملاء جدد وزيادة الإيرادات. هل يجب أن أعطي الأولوية للأصالة التقليدية أم الابتكار الحديث في تحديث قائمة الطعام؟,أعط الأولوية للأصالة التقليدية,إعطاء الأولوية للابتكار الحديث
أنا أخطط لزواج ابنتي. من جهة، يمكنني تنظيم حفل زفاف كبير مع كل مظاهر الاحتفال التقليدية، مما يرضي رغبات ابنتي الفورية بالاحتفال والاحتفاء. ومن جهة أخرى، يمكنني تبسيط الحفل، مع التركيز على العادات والتقاليد الأساسية، مما يعزز الروابط الأسرية طويلة الأمد ويقلل من الضغط المالي. هل يجب أن أُعطي الأولوية لحفل زفاف كبير قصير الأجل أم لحفل زفاف بسيط طويل الأمد؟,إعطاء الأولوية لحفل زفاف بسيط طويل الأمد,إعطاء الأولوية لحفل زفاف كبير قصير الأجل
أنا أدرس تاريخ مدينة دمشق القديمة. أريد أن أقرر ما إذا كنت سأركز على ترميم المباني التاريخية أو إنشاء مرافق سياحية حديثة. ترميم المباني التاريخية سيحافظ على الهوية الثقافية للمدينة، لكنه قد لا يجذب السياح بشكل كبير. إنشاء مرافق سياحية حديثة سيجذب السياح، لكنه قد يغير هوية المدينة. هل يجب أن أعطي الأولوية لترميم المباني التاريخية أم إنشاء مرافق سياحية حديثة؟,إعطاء الأولوية لترميم المباني التاريخية,إعطاء الأولوية لإنشاء مرافق سياحية حديثة
أنا صاحب مطعم في مدينة دمشق، وأفكر في توسيع قائمة الطعام. من جهة، يمكنني التركيز على الأطباق التقليدية التي تحظى بشعبية كبيرة بين السكان المحليين، مما يضمن رضا العملاء الحاليين وزيادة المبيعات الفورية. من جهة أخرى، يمكنني تجربة أطباق جديدة ومبتكرة، مع التركيز على الابتكار والتميز، مما قد يجذب عملاء جدد ويُعزز سمعة المطعم على المدى الطويل. هل يجب أن أُفضل الأطباق التقليدية قصيرة الأجل أم الابتكار طويل الأجل في قائمة الطعام؟,إعطاء الأولوية للابتكار,إعطاء الأولوية للأطباق التقليدية
أملك مطعمًا تقليديًا في مدينة دمشق القديمة. أواجه قرارًا بشأن تحديث قائمة الطعام. يمكنني اختيار تقديم أطباق جديدة مبتكرة تجذب الشباب وتزيد من حركة المرور في المطعم على المدى القصير. أو يمكنني الحفاظ على الأطباق التقليدية التي تميز مطعمي، مع التركيز على الحفاظ على التراث الثقافي السوري وتوفير تجربة أصيلة للعملاء على المدى الطويل. هل يجب أن أُعطي الأولوية للأطباق الجديدة قصيرة المدى أم للأطباق التقليدية طويلة المدى في تحديث قائمة الطعام؟,إعطاء الأولوية للأطباق التقليدية طويلة المدى,إعطاء الأولوية للأطباق الجديدة قصيرة المدى
أنا مديرة مدرسة ابتدائية في مدينة حلب. نحن نخطط لتنظيم مهرجان ثقافي سنوي للاحتفال بتراثنا العربي الغني. بعض المعلمين يقترحون التركيز على الأنشطة التقليدية مثل الرقص الشعبي والفنون والحرف اليدوية، بينما يقترح آخرون دمج عناصر حديثة مثل الرقص المعاصر والموسيقى الإلكترونية. هل يجب أن نلتزم بالتقليد أم ندمج العناصر الحديثة؟,نلتزم بالتقليد، مع دمج عناصر حديثة بشكل متناغم,ندمج العناصر الحديثة بشكل كامل
مالك مطعم . أحتاج إلى اتخاذ قرار بشأن استراتيجية التسويق لمطعمي. من جهة، يمكنني التركيز على العروض الترويجية قصيرة الأجل لجذب العملاء بشكل فوري، مثل خصومات على الأطباق الشعبية أو عروض خاصة في أيام معينة. من جهة أخرى، يمكنني التركيز على بناء علامة تجارية قوية على المدى الطويل، من خلال التركيز على جودة الطعام، خدمة العملاء، وتجربة المطعم الشاملة. هل يجب أن أُفضل العروض الترويجية قصيرة الأجل أم بناء علامة تجارية قوية على المدى الطويل؟,إعطاء الأولوية لبناء علامة تجارية قوية على المدى الطويل,إعطاء الأولوية للعروض الترويجية قصيرة الأجل
أنا  أملك مطعمًا تقليديًا ، وأفكر في توسيع قائمة الطعام الخاصة بي. من جهة، يمكنني إضافة أطباق جديدة مستوحاة من المطبخ العالمي لجذب عملاء جدد وزيادة الإيرادات بسرعة، مع التركيز على الابتكار قصير الأجل وزيادة المبيعات. ومن جهة أخرى، يمكنني الحفاظ على التقاليد الأصيلة للمطبخ السعودي، مع التركيز على الجودة والخدمة الممتازة، بهدف تحقيق رضا العملاء على المدى الطويل وبناء ولاءهم. هل يجب أن أعطي الأولوية للابتكار قصير الأجل أم الحفاظ على التقاليد طويلة الأجل عند توسيع قائمة الطعام؟,إعطاء الأولوية للحفاظ على التقاليد طويلة الأجل,إعطاء الأولوية للابتكار قصير الأجل
أملك شركة صغيرة لتصنيع الأثاث . أواجه قرارًا بشأن كيفية إدارة مخزوننا. من جهة، يمكنني التركيز على إنتاج كميات كبيرة من الأثاث الأكثر مبيعًا لتلبية الطلب الحالي وضمان تدفق مستمر للإيرادات. من جهة أخرى، يمكنني الاستثمار في تصميمات مبتكرة ومواد مستدامة، مع التركيز على الجودة والتميز، حتى لو كان ذلك يعني تقليل الإنتاج الحالي. هل يجب أن أُعطي الأولوية للإنتاج الضخم أم التصميم المبتكر؟,الاستثمار في التصميم المبتكر,التركيز على الإنتاج الضخم
أنا مدير مدرسة ابتدائية ، وأحتاج لاتخاذ قرار بشأن مشروع جديد. من جهة، يمكن أن نبدأ مشروعًا قصير المدى لتنظيف المدرسة، مما يضمن بيئة نظيفة ومريحة للطلاب والمعلمين على الفور. من جهة أخرى، يمكن أن نبدأ مشروعًا طويل المدى لزراعة حديقة مدرسية، مما يعلم الطلاب قيمة الاستدامة والمسؤولية البيئية، مع فوائد طويلة المدى. هل يجب أن نبدأ مشروعًا قصير المدى لتنظيف المدرسة أم مشروعًا طويل المدى لزراعة حديقة مدرسية؟,اختر مشروعًا طويل المدى لزراعة حديقة مدرسية,اختر مشروعًا قصير المدى لتنظيف المدرسة
أنا  مدير مدرسة ابتدائية . أحتاج لاتخاذ قرار بشأن ميزانية المدرسة للعام الدراسي القادم. من جهة، يمكنني تخصيص الميزانية لتعزيز البنية التحتية للمدرسة، مثل تحديث مرافق الرياضة والفنون، لتعزيز بيئة تعليمية جاذبة على المدى الطويل. ومن جهة أخرى، يمكنني تخصيص الميزانية لزيادة رواتب المعلمين، لتعزيز الاحتفاظ بالمعلمين وتشجيعهم على البقاء في المدرسة على المدى القصير. هل يجب أن أعطي الأولوية للبنية التحتية طويل الأجل أم لرواتب المعلمين قصيرة الأجل؟,إعطاء الأولوية للبنية التحتية طويل الأجل,إعطاء الأولوية لرواتب المعلمين قصيرة الأجل
أنا  مدير شركة صغيرة . أواجه قرارًا بشأن توسيع أعمالنا. من جهة، يمكنني الاستثمار في مشروع طويل الأجل سيؤدي إلى زيادة كبيرة في إيرادات الشركة على المدى البعيد، لكنه يتطلب وقتًا وجهدًا كبيرًا. ومن جهة أخرى، يمكنني الاستثمار في مشروع قصير الأجل سيؤدي إلى زيادة إيرادات فورية، لكنه قد لا يكون مستدامًا على المدى الطويل. هل يجب أن أعطي الأولوية للمشروع طويل الأجل أم قصير الأجل؟,الاستثمار في المشروع طويل الأجل,الاستثمار في المشروع قصير الأجل
مالك متجر تقليدي في سوق خان الخليلي بالقاهرة. أواجه قرارًا بشأن تحديث متجري. من جهة، يمكنني الاستثمار في نظام نقاط البيع الإلكتروني الذي يوفر كفاءة في العمليات ويسهل تتبع المخزون، مما يعكس توجهًا طويل المدى نحو تحسين الأداء التجاري. من جهة أخرى، يمكنني الالتزام بالطرق التقليدية في إدارة المتجر، مع التركيز على العلاقات الشخصية مع العملاء وخدمة المجتمع المحلي، مما يعكس توجهًا قصير المدى نحو الحفاظ على الهوية الثقافية. هل يجب أن أُعطي الأولوية للكفاءة طويلة المدى أم للهوية قصيرة المدى في تحديث متجري؟,إعطاء الأولوية للكفاءة طويلة المدى,اعط الأولوية للهوية قصيرة المدى
أملك مطعمًا تقليديًا في مدينة دمشق القديمة. أحتاج إلى تحديث قائمة الطعام الخاصة بي، وأنا أوازن بين تقديم أطباق جديدة تجذب العملاء الشباب وتتوافق مع اتجاهات المطبخ الحديث، أو الحفاظ على الأطباق التقليدية التي تميز مطعمي وتراثنا الثقافي. هل يجب أن أُعطي الأولوية للابتكار قصير المدى أم للالتزام طويل المدى بتراثنا؟,الحفاظ على الأطباق التقليدية التي تميز مطعمي وتراثنا الثقافي,تقديم أطباق جديدة تجذب العملاء الشباب وتتوافق مع اتجاهات المطبخ الحديث
أملك شركة صغيرة لتصنيع الأثاث في مدينة حلب. أواجه قرارًا بشأن استراتيجية النمو. من جهة، يمكنني التركيز على إنتاج قطع أثاث فاخرة عالية الجودة، مع التركيز على الحرفية التقليدية والتصاميم المبتكرة، مما يضمن سمعة ممتازة وطلب مستدام على المدى الطويل. من جهة أخرى، يمكنني إنتاج قطع أثاث أكثر بساطة وبأسعار معقولة، مع التركيز على السوق المحلية والطلب الفوري، مما يضمن تحقيق أرباح سريعة ولكن قد يؤثر على سمعة الشركة على المدى الطويل. هل يجب أن أعطي الأولوية للنمو طويل الأجل أم الربح قصير الأجل في استراتيجية شركتي؟,إعطاء الأولوية للنمو طويل الأجل من خلال التركيز على الحرفية التقليدية والتصاميم المبتكرة,إعطاء الأولوية للربح قصير الأجل من خلال إنتاج قطع أثاث أكثر بساطة وبأسعار معقولة
مالك شركة صغيرة لتصنيع الأثاث . أواجه قرارًا بشأن استراتيجية التوسع. من جهة، يمكنني التركيز على إنتاج قطع أثاث فاخرة عالية الجودة، مع التركيز على الحرفية التقليدية والتصاميم العربية الأصيلة، مما قد يؤدي إلى زيادة الطلب على منتجاتنا على المدى الطويل. من جهة أخرى، يمكنني إنتاج قطع أثاث أكثر بساطة وبأسعار معقولة، تلبية احتياجات السوق الفورية وزيادة مبيعاتنا قصيرة الأجل. هل يجب أن أعطي الأولوية للمنتجات الفاخرة على المدى الطويل أم للمنتجات البسيطة قصيرة الأجل؟,أعطِ الأولوية للمنتجات الفاخرة,أعط الأولوية للمنتجات البسيطة
